date,state,fips,cases,deaths,Cases Per Capita,Deaths per capita,,State Population,,
3/6/20,Illinois,17,6,0, 0.05 , -   ,," 12,671,821 ",,
3/6/20,Indiana,18,1,0, 0.01 , -   ,," 6,732,219 ",,
3/6/20,Kentucky,21,1,0, 0.02 , -   ,," 4,467,673 ",,
3/6/20,Maryland,24,3,0, 0.05 , -   ,," 6,045,680 ",,
3/6/20,Massachusetts,25,8,0, 0.12 , -   ,," 6,892,503 ",,
3/6/20,Minnesota,27,1,0, 0.02 , -   ,," 5,639,632 ",,
3/6/20,Nebraska,31,14,0, 0.72 , -   ,," 1,934,408 ",,
3/6/20,Nevada,32,2,0, 0.06 , -   ,," 3,080,156 ",,
3/6/20,New Hampshire,33,2,0, 0.15 , -   ,," 1,359,711 ",,
3/6/20,New Jersey,34,4,0, 0.05 , -   ,," 8,882,190 ",,
3/6/20,New York,36,44,0, 0.23 , -   ,," 19,453,561 ",,
3/6/20,North Carolina,37,2,0, 0.02 , -   ,," 10,488,084 ",,
3/6/20,Oklahoma,40,1,0, 0.03 , -   ,," 3,956,971 ",,
3/6/20,Oregon,41,2,0, 0.05 , -   ,," 4,217,737 ",,
3/6/20,Pennsylvania,42,2,0, 0.02 , -   ,," 12,801,989 ",,
3/6/20,Rhode Island,44,3,0, 0.28 , -   ,," 1,059,361 ",,
3/6/20,South Carolina,45,2,0, 0.04 , -   ,," 5,148,714 ",,
3/6/20,Tennessee,47,1,0, 0.01 , -   ,," 6,829,174 ",,
3/6/20,Texas,48,19,0, 0.07 , -   ,," 28,995,881 ",,
3/6/20,Utah,49,3,0, 0.09 , -   ,," 3,205,958 ",,
3/6/20,Washington,53,86,12, 1.13 , 0.16 ,," 7,614,893 ",,
3/6/20,Wisconsin,55,1,0, 0.02 , -   ,," 5,822,434 ",,
3/7/20,Arizona,4,5,0, 0.07 , -   ,," 7,278,717 ",,
3/7/20,California,6,100,1, 0.25 , 0.00 ,," 39,512,223 ",,
3/7/20,Colorado,8,8,0, 0.14 , -   ,," 5,758,736 ",,
3/7/20,District of Columbia,11,1,0, 0.14 , -   ,," 705,749 ",,
